threadID,sectionID,event,val,ts,ticket
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598921084066,72
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598922966129,73
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929598922996283,74
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598923058143,75
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598928977274,76
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598929733348,77
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598931727905,78
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598935903583,79
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598939973022,80
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598940044369,81
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598940119172,82
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929598940269837,83
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598940335922,84
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598940421575,85
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598942888787,86
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598943375313,87
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598945787527,88
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598946580207,89
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598948185427,90
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598971771511,91
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598974431549,92
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598974519402,93
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598974584128,94
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929598974659811,95
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598974730169,96
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598975538057,97
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929598975583933,98
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598975664428,99
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598981006671,100
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598985468622,101
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929598985537826,102
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598985636443,103
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598985895802,104
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929598985940928,105
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598986010168,106
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598986507189,107
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598986554223,108
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929598986627528,109
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929598996417497,110
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929598996475296,111
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598996559473,112
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929598998852709,113
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929598998903019,114
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,0,1573929598999434242,115
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929598999470635,116
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929598999724670,117
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599001920278,118
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599004089227,119
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599004151716,120
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599004228962,121
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599008517709,122
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599008567995,123
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599010251776,124
id_140527665071936,devolverBicicleta,END_FUNC_PROC,2,0,1573929599010288226,125
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,2,0,1573929599010383881,126
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,1,0,1573929599010418054,127
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599010730535,128
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599010934164,129
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599010979349,130
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599011059717,131
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,1,1573929599014765706,132
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599014811655,133
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599018645772,134
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599018696065,135
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,1,1573929599021825603,136
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,2,1573929599021886305,137
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,2,1573929599021965676,138
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,2,1573929599022104590,139
id_140527665071936,devolverBicicleta,END_FUNC_PROC,2,2,1573929599022141255,140
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,2,2,1573929599025325779,141
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,1,2,1573929599025371866,142
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,2,1573929599034128413,143
id_140527665071936,devolverBicicleta,END_FUNC_PROC,2,2,1573929599034178371,144
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,2,2,1573929599036361526,145
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,1,2,1573929599036407425,146
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,2,1573929599042074375,147
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,3,1573929599042133990,148
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,3,1573929599042221254,149
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,3,1573929599043308020,150
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,3,1573929599043353878,151
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,3,1573929599047720567,152
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,3,1573929599047770755,153
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,3,1573929599058902064,154
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,3,1573929599058947926,155
