threadID,sectionID,event,val,ts,ticket
id_140560569108288,main, BEGIN_FUNC_PROC, 0,1572783757957062491,1
id_140560569108288,mutex,WAIT,0,1572783757957148155,2
id_140560569108288,mutex,SIGNAL,1,1572783757957202461,3
id_140560569108288,mutex,WAIT,0,1572783757957410693,4
id_140560569108288,mutex,SIGNAL,1,1572783757957467193,5
id_140560569108288,mutex,WAIT,0,1572783757957528254,6
id_140560569108288,mutex,SIGNAL,1,1572783757957613203,7
id_140560569108288,mutex,WAIT,0,1572783757957694659,8
id_140560569108288,mutex,SIGNAL,1,1572783757957811252,9
id_140560569108288,mutex,WAIT,0,1572783757957875882,10
id_140560569108288,mutex,SIGNAL,1,1572783757957961490,11
id_140560569108288,mutex,WAIT,0,1572783757958007597,12
id_140560569108288,mutex,SIGNAL,1,1572783757958255406,13
id_140560569108288,mutex,WAIT,0,1572783757958329272,14
id_140560569108288,mutex,SIGNAL,1,1572783757958466657,15
id_140560569108288,mutex,WAIT,0,1572783757958504797,16
id_140560569108288,mutex,SIGNAL,1,1572783757958646970,17
id_140560569108288,mutex,WAIT,0,1572783757958686238,18
id_140560569108288,mutex,SIGNAL,1,1572783757958823042,19
id_140560569108288,mutex,WAIT,0,1572783757958858660,20
id_140560569108288,mutex,SIGNAL,1,1572783757958972461,21
id_140560569108288,mutex,WAIT,0,1572783757973165071,22
id_140560569108288,b_hay_dato,SIGNAL,1,1572783757973201530,23
id_140560569108288,b_hay_dato,WAIT,0,1572783757973211867,24
id_140560569108288,mutex,SIGNAL,1,1572783757973228432,25
id_140560569108288,mutex,WAIT,0,1572783757993915486,26
id_140560569108288,mutex,SIGNAL,1,1572783757993967221,27
id_140560569108288,mutex,WAIT,0,1572783757994365323,28
id_140560569108288,mutex,SIGNAL,1,1572783757994388912,29
id_140560569108288,mutex,WAIT,0,1572783758022374702,30
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758022464336,31
id_140560569108288,b_hay_dato,WAIT,0,1572783758022490179,32
id_140560569108288,mutex,SIGNAL,1,1572783758022567122,33
id_140560569108288,mutex,WAIT,0,1572783758035169970,34
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758035258345,35
id_140560569108288,b_hay_dato,WAIT,0,1572783758035282350,36
id_140560569108288,mutex,SIGNAL,1,1572783758035340352,37
id_140560569108288,mutex,WAIT,0,1572783758040893203,38
id_140560569108288,mutex,SIGNAL,1,1572783758040978229,39
id_140560569108288,mutex,WAIT,0,1572783758043844167,40
id_140560569108288,mutex,SIGNAL,1,1572783758043936126,41
id_140560569108288,mutex,WAIT,0,1572783758044771043,42
id_140560569108288,mutex,SIGNAL,1,1572783758044850765,43
id_140560569108288,mutex,WAIT,0,1572783758049724674,44
id_140560569108288,mutex,SIGNAL,1,1572783758049792383,45
id_140560569108288,mutex,WAIT,0,1572783758050958690,46
id_140560569108288,mutex,SIGNAL,1,1572783758051006403,47
id_140560569108288,mutex,WAIT,0,1572783758051451441,48
id_140560569108288,mutex,SIGNAL,1,1572783758051500500,49
id_140560569108288,mutex,WAIT,0,1572783758070064135,50
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758070162487,51
id_140560569108288,b_hay_dato,WAIT,0,1572783758070237504,52
id_140560569108288,mutex,SIGNAL,1,1572783758070325543,53
id_140560569108288,mutex,WAIT,0,1572783758075950910,54
id_140560569108288,mutex,SIGNAL,1,1572783758076018228,55
id_140560569108288,mutex,WAIT,0,1572783758084795086,56
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758084886787,57
id_140560569108288,b_hay_dato,WAIT,0,1572783758084912872,58
id_140560569108288,mutex,SIGNAL,1,1572783758084989314,59
id_140560569108288,mutex,WAIT,0,1572783758085017605,60
id_140560569108288,mutex,SIGNAL,1,1572783758085066787,61
id_140560569108288,mutex,WAIT,0,1572783758094528695,62
id_140560569108288,mutex,SIGNAL,1,1572783758094594761,63
id_140560569108288,mutex,WAIT,0,1572783758096244980,64
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758096338561,65
id_140560569108288,b_hay_dato,WAIT,0,1572783758096376603,66
id_140560569108288,mutex,SIGNAL,1,1572783758096470786,67
id_140560569108288,mutex,WAIT,0,1572783758104310441,68
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758104401305,69
id_140560569108288,b_hay_dato,WAIT,0,1572783758104448897,70
id_140560569108288,mutex,SIGNAL,1,1572783758104552067,71
id_140560569108288,mutex,WAIT,0,1572783758106487119,72
id_140560569108288,mutex,SIGNAL,1,1572783758106587459,73
id_140560569108288,mutex,WAIT,0,1572783758125471854,74
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758125517602,75
id_140560569108288,b_hay_dato,WAIT,0,1572783758125527761,76
id_140560569108288,mutex,SIGNAL,1,1572783758125561091,77
id_140560569108288,mutex,WAIT,0,1572783758125593487,78
id_140560569108288,mutex,SIGNAL,1,1572783758125602962,79
id_140560569108288,mutex,WAIT,0,1572783758134850696,80
id_140560569108288,mutex,SIGNAL,1,1572783758134912033,81
id_140560569108288,mutex,WAIT,0,1572783758142296690,82
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758142367540,83
id_140560569108288,b_hay_dato,WAIT,0,1572783758142393879,84
id_140560569108288,mutex,SIGNAL,1,1572783758142458441,85
id_140560569108288,mutex,WAIT,0,1572783758148965784,86
id_140560569108288,mutex,SIGNAL,1,1572783758149060388,87
id_140560569108288,mutex,WAIT,0,1572783758153126150,88
id_140560569108288,mutex,SIGNAL,1,1572783758153206312,89
id_140560569108288,mutex,WAIT,0,1572783758163531521,90
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758163641238,91
id_140560569108288,b_hay_dato,WAIT,0,1572783758163667120,92
id_140560569108288,mutex,SIGNAL,1,1572783758163744293,93
id_140560569108288,mutex,WAIT,0,1572783758166185378,94
id_140560569108288,mutex,SIGNAL,1,1572783758166268123,95
id_140560569108288,mutex,WAIT,0,1572783758177626042,96
id_140560569108288,mutex,SIGNAL,1,1572783758177701018,97
id_140560569108288,mutex,WAIT,0,1572783758186582413,98
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758186692901,99
id_140560569108288,b_hay_dato,WAIT,0,1572783758186729293,100
id_140560569108288,mutex,SIGNAL,1,1572783758186830039,101
id_140560569108288,mutex,WAIT,0,1572783758187670816,102
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758187751233,103
id_140560569108288,b_hay_dato,WAIT,0,1572783758187791117,104
id_140560569108288,mutex,SIGNAL,1,1572783758187870462,105
id_140560569108288,mutex,WAIT,0,1572783758192834628,106
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758192953770,107
id_140560569108288,b_hay_dato,WAIT,0,1572783758193012686,108
id_140560569108288,mutex,SIGNAL,1,1572783758193100599,109
id_140560569108288,mutex,WAIT,0,1572783758209153284,110
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758209204348,111
id_140560569108288,b_hay_dato,WAIT,0,1572783758209256220,112
id_140560569108288,mutex,SIGNAL,1,1572783758209285870,113
id_140560569108288,mutex,WAIT,0,1572783758209542363,114
id_140560569108288,b_hay_dato,SIGNAL,1,1572783758209562837,115
id_140560569108288,b_hay_dato,WAIT,0,1572783758209617548,116
id_140560569108288,mutex,SIGNAL,1,1572783758209641986,117
id_140560569108288,mutex,WAIT,0,1572783758220477734,118
